id,brightness,url,,
arxiv-astro-ph0604098,242.8274944,"<a href=""http://www.archive.org/details/arxiv-astro-ph0604098"">link</a>",,
arxiv-astro-ph9906006,242.8102533,"<a href=""http://www.archive.org/details/arxiv-astro-ph9906006"">link</a>",,
nasa_techdoc_19910004795,242.7811532,"<a href=""http://www.archive.org/details/nasa_techdoc_19910004795"">link</a>",,
nasa_techdoc_19950016573,242.7445006,"<a href=""http://www.archive.org/details/nasa_techdoc_19950016573"">link</a>",,
nasa_techdoc_20020080996,242.7203502,"<a href=""http://www.archive.org/details/nasa_techdoc_20020080996"">link</a>",,
nasa_techdoc_19730010111,242.6708234,"<a href=""http://www.archive.org/details/nasa_techdoc_19730010111"">link</a>",,
arxiv-1203.6394,242.6703411,"<a href=""http://www.archive.org/details/arxiv-1203.6394"">link</a>",,
arxiv-0807.1794,242.643611,"<a href=""http://www.archive.org/details/arxiv-0807.1794"">link</a>",,
nasa_techdoc_19740012481,242.632422,"<a href=""http://www.archive.org/details/nasa_techdoc_19740012481"">link</a>",,
arxiv-astro-ph9702097,242.6143869,"<a href=""http://www.archive.org/details/arxiv-astro-ph9702097"">link</a>",,
arxiv-astro-ph9906133,242.5411274,"<a href=""http://www.archive.org/details/arxiv-astro-ph9906133"">link</a>",,
nasa_techdoc_19740014208,242.5185729,"<a href=""http://www.archive.org/details/nasa_techdoc_19740014208"">link</a>",,
nasa_techdoc_19970013278,242.4827096,"<a href=""http://www.archive.org/details/nasa_techdoc_19970013278"">link</a>",,
arxiv-astro-ph0107251,242.479052,"<a href=""http://www.archive.org/details/arxiv-astro-ph0107251"">link</a>",,
nasa_techdoc_19860003786,242.3820941,"<a href=""http://www.archive.org/details/nasa_techdoc_19860003786"">link</a>",,
arxiv-1107.0719,242.3295143,"<a href=""http://www.archive.org/details/arxiv-1107.0719"">link</a>",,
jstor-40710095,242.2938323,"<a href=""http://www.archive.org/details/jstor-40710095"">link</a>",,
arxiv-astro-ph0406413,242.2061919,"<a href=""http://www.archive.org/details/arxiv-astro-ph0406413"">link</a>",,
arxiv-1203.5700,242.2051052,"<a href=""http://www.archive.org/details/arxiv-1203.5700"">link</a>",,
nasa_techdoc_19860003775,242.1734578,"<a href=""http://www.archive.org/details/nasa_techdoc_19860003775"">link</a>",,
philtrans06849154,242.1121244,"<a href=""http://www.archive.org/details/philtrans06849154"">link</a>",,
arxiv-astro-ph0009114,242.0891727,"<a href=""http://www.archive.org/details/arxiv-astro-ph0009114"">link</a>",,
nasa_techdoc_19980000177,242.0814909,"<a href=""http://www.archive.org/details/nasa_techdoc_19980000177"">link</a>",,
arxiv-astro-ph9411117,242.0212922,"<a href=""http://www.archive.org/details/arxiv-astro-ph9411117"">link</a>",,
nasa_techdoc_19980002703,241.9876739,"<a href=""http://www.archive.org/details/nasa_techdoc_19980002703"">link</a>",,
nasa_techdoc_20060022160,241.9783624,"<a href=""http://www.archive.org/details/nasa_techdoc_20060022160"">link</a>",,
nasa_techdoc_19750015070,241.9450964,"<a href=""http://www.archive.org/details/nasa_techdoc_19750015070"">link</a>",,
arxiv-0807.0647,241.9428886,"<a href=""http://www.archive.org/details/arxiv-0807.0647"">link</a>",,
arxiv-0807.1129,241.9081161,"<a href=""http://www.archive.org/details/arxiv-0807.1129"">link</a>",,
jstor-40666888,241.9067905,"<a href=""http://www.archive.org/details/jstor-40666888"">link</a>",,
arxiv-1007.2743,241.8275416,"<a href=""http://www.archive.org/details/arxiv-1007.2743"">link</a>",,
arxiv-astro-ph0406337,241.8168318,"<a href=""http://www.archive.org/details/arxiv-astro-ph0406337"">link</a>",,
CosmeticVehicleRepairsTechniquesForFixingMinorDamages,241.8004194,"<a href=""http://www.archive.org/details/CosmeticVehicleRepairsTechniquesForFixingMinorDamages"">link</a>",,
arxiv-astro-ph0609800,241.7567331,"<a href=""http://www.archive.org/details/arxiv-astro-ph0609800"">link</a>",,
nasa_techdoc_20010114460,241.7483482,"<a href=""http://www.archive.org/details/nasa_techdoc_20010114460"">link</a>",,
arxiv-astro-ph9910075,241.7482957,"<a href=""http://www.archive.org/details/arxiv-astro-ph9910075"">link</a>",,
arxiv-1007.4842,241.6748163,"<a href=""http://www.archive.org/details/arxiv-1007.4842"">link</a>",,
